date,period,side,net_vol,big_count,total_count,time,hit,max_win_pct,hrs_to_hit,es_start,es_target,eval_status,hrs_to_max,is_extreme_chase,extreme_price,vol_bucket
2025-07-14,RTH,Buy,500,1,1,12:58:20.072000,0.0,0.6258665082194494,,6311.25,6350.75,0,75.02775777777778,True,6315.0,<500
2025-07-15,FirstHour,Buy,500,1,1,07:07:33.170000,0.0,0.5735078906775304,,6320.75,6357.0,0,63.87411944444444,False,6343.0,<500
2025-07-15,RTH,Sell,500,1,1,10:25:25.550000,1.0,0.9129157735968882,21.57623611111111,6298.5,6241.0,0,21.57623611111111,True,6291.25,<500
2025-07-15,RTH,Buy,500,1,1,10:28:45.799000,1.0,0.9007579064322844,53.52061138888889,6300.25,6357.0,0,60.52061138888889,False,6343.0,<500
2025-07-16,RTH,Buy,500,1,1,08:03:30.500000,1.0,1.1134086209638938,24.94152777777778,6287.0,6357.0,0,38.94152777777778,False,6302.0,<500
2025-07-16,RTH,Buy,500,1,1,08:10:36.964000,1.0,1.0491177873152122,26.823065555555555,6291.0,6357.0,0,38.82306555555555,False,6302.0,<500
2025-07-16,RTH,Buy,500,1,1,10:10:05.138000,1.0,0.9568428157382778,25.83190611111111,6296.75,6357.0,0,36.83190611111111,True,6302.0,<500
2025-07-17,FirstHour,Buy,500,1,1,06:42:25.891000,1.0,0.9183027232425586,95.29280805555555,6316.0,6374.0,0,97.29280805555555,True,6322.75,<500
2025-07-21,AH,Sell,500,1,1,13:59:10.888000,0.0,0.4568547910677011,,6347.75,6318.75,0,16.013642222222224,True,6339.75,<500
2025-07-22,RTH,Buy,550,1,1,08:47:37.865000,1.0,1.4873555055825147,23.20614861111111,6336.75,6431.0,0,75.20614861111112,False,6349.5,500-1000
2025-07-22,RTH,Buy,500,1,1,09:13:52.321000,1.0,1.5474498657824096,22.768799722222223,6333.0,6431.0,0,74.76879972222223,False,6349.5,<500
2025-07-23,RTH,Sell,500,1,1,11:15:40.181000,0.0,0.10955902492467817,,6389.25,6382.25,0,0.0,False,6353.5,<500
2025-07-23,RTH,Sell,500,1,1,12:59:10.192000,0.0,0.09776700168159243,,6392.75,6386.5,0,0.0,False,6353.5,<500
2025-07-24,AH,Sell,2981,1,1,13:59:36.970000,0.0,0.15609756097560976,,6406.25,6396.25,0,118.00639722222223,False,6391.5,>2000
2025-07-29,RTH,Buy,520,1,1,09:00:01.159000,1.0,0.8693618182526998,38.99967805555555,6412.75,6468.5,0,38.99967805555555,False,6442.5,500-1000
2025-07-29,RTH,Sell,500,1,1,11:14:24.786000,1.0,2.6219274287943817,48.75978166666667,6407.5,6239.5,0,71.75978166666667,True,6400.0,<500
2025-07-30,AH,Sell,500,1,1,13:18:29.386000,1.0,2.890938095793938,21.691837222222222,6425.25,6239.5,0,45.691837222222226,False,6366.75,<500
2025-07-30,AH,Sell,500,1,1,13:27:37.433000,1.0,2.985306693617352,20.539601944444442,6431.5,6239.5,0,45.53960194444445,False,6366.75,<500
2025-07-30,RTH,Buy,500,1,1,11:59:45.274000,1.0,1.375230184539435,0.0,6380.75,6468.5,0,12.004090555555557,False,6429.75,<500
2025-07-30,RTH,Buy,500,1,1,11:59:57.812000,1.0,1.3792022568764204,0.0,6380.5,6468.5,0,12.000607777777779,False,6429.75,<500
2025-07-30,RTH,Buy,500,1,1,12:25:28.643000,1.0,1.4945279096222492,0.5753769444444444,6373.25,6468.5,0,11.575376944444445,False,6429.75,<500
2025-07-31,RTH,Sell,600,1,1,10:32:32.395000,1.0,2.401063663381824,13.457668055555557,6393.0,6239.5,0,24.457668055555555,False,6382.5,500-1000
2025-07-31,RTH,Buy,609,1,1,10:52:11.610000,0.0,0.6181049996087943,,6390.5,6430.0,0,0.0,False,6468.5,500-1000
2025-07-31,RTH,Sell,430,0,1,12:42:56.519000,1.0,2.2979056566842826,11.284300277777778,6386.25,6239.5,0,22.284300277777778,False,6358.25,<500
2025-08-01,RTH,Sell,500,1,1,07:30:06.508000,0.0,0.6290810638636726,,6279.0,6239.5,0,3.4981922222222224,False,6243.75,<500
2025-08-04,FirstHour,Buy,500,1,1,06:39:29.176000,1.0,1.6931049487717078,6.341895555555555,6319.75,6426.75,0,68.34189555555555,False,6339.0,<500
2025-08-05,FirstHour,Buy,600,1,1,06:38:24.976000,1.0,0.9542884071630539,43.35972888888889,6366.0,6426.75,0,44.35972888888889,False,6377.5,500-1000
2025-08-05,PM,Buy,1275,0,3,01:03:36.017000,1.0,0.986015084852294,48.93999527777778,6364.0,6426.75,0,49.93999527777778,False,6377.5,1000-2000
2025-08-06,RTH,Sell,500,1,1,08:14:56.397000,0.0,0.3108155958610379,,6354.25,6334.5,0,26.751000833333332,False,6325.75,<500
2025-08-06,RTH,Buy,550,1,1,08:17:36.378000,1.0,1.1051679383308426,16.70656166666667,6356.5,6426.75,0,18.70656166666667,False,6374.25,500-1000
2025-08-06,RTH,Buy,600,1,1,08:21:49.622000,1.0,1.0495283018867925,16.63621611111111,6360.0,6426.75,0,18.63621611111111,False,6374.25,500-1000
2025-08-06,RTH,Buy,500,1,1,10:58:11.557000,1.0,0.9384325427988064,15.030123055555555,6367.0,6426.75,0,16.030123055555556,True,6375.0,<500
2025-08-07,AH,Buy,1000,1,1,13:09:37.229000,1.0,0.9337727558066542,23.83965861111111,6372.0,6431.5,0,91.83965861111112,False,6426.75,500-1000
2025-08-07,RTH,Buy,850,1,1,11:38:09.806000,1.0,1.347305389221557,18.36394277777778,6346.0,6431.5,0,93.36394277777778,False,6426.75,500-1000
2025-08-08,PM,Buy,308,0,1,04:00:26.535000,1.0,1.3738844527947391,96.99262916666667,6387.0,6474.75,0,107.99262916666667,True,6389.75,<500
2025-08-11,FirstHour,Buy,450,0,1,06:57:20.909000,1.0,1.332398316970547,28.044191944444446,6417.0,6502.5,0,47.04419194444444,False,6429.5,<500
2025-08-12,PM,Buy,290,0,1,02:43:37.628000,1.0,1.651569576760893,5.272881111111111,6403.0,6508.75,0,68.27288111111112,True,6411.0,<500
2025-08-12,RTH,Buy,400,0,1,07:44:57.952000,1.0,1.1421467697447651,17.25056888888889,6435.25,6508.75,0,63.25056888888889,True,6443.25,<500
2025-08-13,FirstHour,Buy,324,0,1,07:29:28.373000,0.0,0.4436728395061728,,6480.0,6508.75,0,39.50878527777778,False,6502.5,<500
2025-08-14,AH,Buy,481,0,1,19:26:12.541000,0.0,0.12306272353190016,,6500.75,6508.75,0,3.5631830555555557,True,6501.5,<500
2025-08-14,RTH,Sell,378,0,1,10:23:52.734000,0.0,0.4817141315657636,,6487.25,6456.0,0,87.60201833333333,False,6453.25,<500
2025-08-18,FirstHour,Sell,400,0,1,06:38:35.706000,1.0,1.6120303077160971,35.35674833333333,6467.0,6362.75,0,48.35674833333333,False,6456.0,<500
2025-08-18,RTH,Buy,389,0,1,09:13:20.874000,0.0,0.18947449827926222,,6465.25,6477.5,0,5.777535,False,6480.0,<500
2025-08-18,RTH,Sell,371,0,1,10:14:07.693000,1.0,1.6082266981095605,31.76452972222222,6466.75,6362.75,0,44.76452972222222,False,6456.0,<500
2025-08-19,AH,Sell,495,0,1,18:17:01.219000,1.0,0.9380351860501324,12.716328055555556,6423.0,6362.75,0,12.716328055555556,True,6417.75,<500
2025-08-19,AH,Sell,400,0,1,18:36:01.292000,1.0,0.8685830022590948,12.39964111111111,6418.5,6362.75,0,12.39964111111111,True,6417.75,<500
2025-08-19,RTH,Sell,397,0,1,09:23:30.101000,1.0,1.2493694952081635,20.60830527777778,6443.25,6362.75,0,21.60830527777778,False,6427.75,<500
2025-08-19,RTH,Sell,401,0,1,09:53:36.844000,1.0,1.1189245891448774,20.106432222222224,6434.75,6362.75,0,21.106432222222224,True,6427.75,<500
2025-08-20,FirstHour,Sell,2866,4,8,07:08:22.482000,0.0,0.23910316713703356,,6378.0,6362.75,0,0.0,False,6362.75,>2000
2025-08-20,PM,Buy,292,0,1,05:15:18.153000,1.0,1.097148192817959,49.744957500000005,6425.75,6496.25,0,50.744957500000005,True,6429.75,<500
2025-08-20,RTH,Sell,500,1,1,08:00:57.879000,0.0,0.09419152276295133,,6370.0,6364.0,0,38.983922500000006,True,6362.75,<500
2025-08-20,RTH,Buy,620,1,1,09:08:17.177000,1.0,1.686624403224544,45.861895277777776,6388.5,6496.25,0,46.861895277777776,False,6430.75,500-1000
2025-08-20,RTH,Sell,468,0,1,11:04:40.034000,0.0,0.5003126954346466,,6396.0,6364.0,0,35.92221277777778,False,6362.75,<500
2025-08-20,RTH,Sell,404,0,1,11:08:14.097000,0.0,0.4925338128371511,,6395.5,6364.0,0,35.86275083333334,False,6362.75,<500
2025-08-21,FirstHour,Sell,1122,2,2,06:46:51.371000,0.0,0.25078369905956116,,6380.0,6364.0,0,16.21906361111111,True,6375.5,1000-2000
2025-08-21,RTH,Sell,668,1,1,08:23:42.548000,0.0,0.5858002030774037,,6401.5,6364.0,0,14.604847777777778,False,6375.5,500-1000
2025-08-22,RTH,Buy,500,1,1,07:40:36.110000,0.0,0.17347725520431764,,6485.0,6496.25,0,0.32330277777777783,True,6492.75,<500
2025-08-22,RTH,Buy,500,1,1,07:55:18.401000,0.0,0.0963020030816641,,6490.0,6496.25,0,0.07822194444444444,True,6492.75,<500
2025-08-22,RTH,Sell,363,0,1,08:59:11.686000,1.0,0.8594773760887998,80.01342055555556,6486.5,6430.75,0,80.01342055555556,False,6364.0,<500
2025-08-24,AH,Sell,993,1,1,20:59:19.546000,0.0,0.7217290621381706,,6477.5,6430.75,0,20.01123722222222,True,6471.5,500-1000
2025-08-25,AH,Sell,2875,1,1,13:59:05.158000,0.0,0.44893378226711567,,6459.75,6430.75,0,3.015233888888889,True,6453.0,>2000
2025-08-26,AH,Sell,2265,1,1,13:58:32.828000,0.0,0.4855865577308463,,6487.0,6455.5,0,65.02421444444444,False,6443.0,>2000
2025-08-26,AH,Sell,600,1,1,13:59:21.408000,0.0,0.4855865577308463,,6487.0,6455.5,0,65.01072,False,6443.0,500-1000
2025-08-26,RTH,Buy,306,0,1,07:45:18.659000,1.0,1.0104138438310557,41.24481694444444,6457.75,6523.0,0,52.24481694444444,True,6461.75,<500
2025-08-26,RTH,Sell,300,0,1,12:50:41.541000,0.0,0.3127050920742771,,6475.75,6455.5,0,66.1551275,False,6441.5,<500
2025-08-28,AH,Sell,2000,1,1,13:58:58.296000,1.0,0.9360853218752397,17.017139999999998,6516.5,6455.5,0,17.017139999999998,False,6480.75,1000-2000
2025-08-28,FirstHour,Buy,500,1,1,07:08:55.538000,0.0,0.44269931092889864,,6494.25,6523.0,0,4.851239444444444,False,6508.5,<500
2025-08-28,RTH,Buy,500,1,1,08:16:05.692000,0.0,0.35384615384615387,,6500.0,6523.0,0,3.7317522222222226,True,6508.5,<500
2025-08-28,RTH,Sell,360,0,1,12:59:57.113000,1.0,0.9398856792112633,18.000801944444444,6516.75,6455.5,0,18.000801944444444,False,6480.75,<500
2025-09-01,PM,Buy,375,0,1,03:41:18.553000,0.0,0.5592625448374282,,6481.75,6518.0,1,84.31151305555555,True,6491.5,<500
2025-09-02,RTH,Sell,305,0,1,10:27:04.285000,0.0,0.1875,,6400.0,6388.0,0,0.0,False,6371.75,<500
2025-09-03,AH,Sell,2940,1,1,13:57:45.173000,0.0,0.13543319274078086,,6460.75,6452.0,0,42.03745194444444,False,6426.5,>2000
2025-09-03,AH,Sell,1000,1,1,13:59:45.111000,0.0,0.12383900928792571,,6460.0,6452.0,0,42.00413583333333,False,6426.5,500-1000
2025-09-03,AH,Sell,2974,1,1,13:59:18.601000,0.0,0.13543319274078086,,6460.75,6452.0,0,42.011499722222226,False,6426.5,>2000
2025-09-03,RTH,Buy,545,1,1,08:08:51.036000,1.0,1.2654798761609907,27.852490000000003,6460.0,6541.75,0,45.85249,True,6464.25,500-1000
2025-09-03,RTH,Sell,900,1,1,09:25:30.590000,0.0,0.287044220325834,,6445.0,6426.5,0,1.574836111111111,False,6425.5,500-1000
2025-09-03,RTH,Sell,315,0,1,11:39:48.910000,0.0,0.007779679477205539,,6427.0,6426.5,0,0.0,True,6426.5,<500
2025-09-03,RTH,Sell,300,0,1,12:45:00.851000,0.0,0.2366909824615862,,6443.0,6427.75,0,0.0,False,6426.5,<500
2025-09-03,RTH,Sell,300,0,1,12:55:22.530000,0.0,0.37971250339029017,,6452.25,6427.75,0,0.0,False,6426.5,<500
2025-09-04,AH,Sell,293,0,1,13:15:05.994000,1.0,0.9479946267511034,17.748335,6513.75,6452.0,0,18.748334999999997,False,6456.25,<500
2025-09-04,AH,Sell,348,0,1,13:55:39.909000,1.0,0.959398265407936,17.0722475,6514.5,6452.0,0,18.0722475,False,6456.25,<500
2025-09-04,AH,Sell,911,1,1,13:54:23.689000,1.0,0.9631988948156107,17.093419722222222,6514.75,6452.0,0,18.093419722222222,False,6456.25,500-1000
2025-09-04,AH,Sell,599,1,1,13:54:21.038000,1.0,0.9669992325402917,17.09415611111111,6515.0,6452.0,0,18.09415611111111,False,6456.25,500-1000
2025-09-04,AH,Sell,2453,1,1,13:58:19.778000,1.0,0.9517961314092724,17.027839444444446,6514.0,6452.0,0,18.027839444444446,False,6456.25,>2000
2025-09-04,AH,Sell,1999,1,1,13:59:34.787000,1.0,0.9365883617380623,17.007003611111113,6513.0,6452.0,0,18.007003611111113,False,6456.25,1000-2000
2025-09-04,AH,Sell,319,0,1,13:59:53.214000,1.0,0.9289827255278311,17.001885,6512.5,6452.0,0,18.001885,False,6456.25,<500
2025-09-04,AH,Sell,498,0,1,13:59:53.214000,1.0,0.9289827255278311,17.001885,6512.5,6452.0,0,18.001885,False,6456.25,<500
2025-09-04,FirstHour,Buy,1600,2,2,07:25:09.170000,1.0,1.0972452961403236,9.580786111111111,6470.75,6541.75,0,22.580786111111113,True,6479.25,1000-2000
2025-09-04,PM,Buy,1500,2,2,03:14:25.682000,1.0,1.069911162611047,17.75953277777778,6472.5,6541.75,0,26.75953277777778,True,6473.75,1000-2000
2025-09-04,RTH,Sell,478,0,1,12:58:55.204000,1.0,0.8909370199692781,18.01799888888889,6510.0,6452.0,0,19.01799888888889,False,6456.25,<500
2025-09-04,RTH,Sell,734,1,1,12:59:50.355000,1.0,0.8719032072210485,18.002679166666667,6508.75,6452.0,0,19.002679166666667,False,6456.25,500-1000
2025-09-05,RTH,Sell,349,0,1,08:10:49.336000,0.0,0.03486075066816439,,6454.25,6452.0,0,0.0,True,6452.0,<500
2025-09-05,RTH,Sell,337,0,1,08:12:13.205000,0.0,0.10837590958352686,,6459.0,6452.0,0,0.0,True,6452.0,<500
2025-09-05,RTH,Buy,400,0,1,08:14:41.520000,1.0,1.0706555349412492,86.75513333333333,6468.0,6537.25,0,102.75513333333333,False,6541.75,<500
2025-09-05,RTH,Sell,413,0,1,10:24:38.855000,0.0,0.26996798950981526,,6482.25,6464.75,0,0.0,False,6452.0,<500
2025-09-07,AH,Buy,350,0,1,17:30:34.619000,1.0,0.9106978173993237,59.490383611111106,6506.0,6565.25,0,59.490383611111106,True,6507.5,<500
2025-09-07,AH,Buy,654,1,1,23:03:15.596000,1.0,1.0349338257925516,53.94566777777778,6498.0,6565.25,0,53.94566777777778,True,6507.5,500-1000
2025-09-08,FirstHour,Buy,600,1,1,07:08:24.327000,1.0,1.4604150653343582,45.85990916666667,6505.0,6600.0,0,76.85990916666667,False,6516.0,500-1000
2025-09-09,PM,Buy,381,0,1,06:07:32.761000,1.0,1.548749087275662,22.874233055555557,6505.25,6606.0,0,76.87423305555555,False,6521.25,<500
2025-09-09,RTH,Sell,303,0,1,10:25:41.039000,0.0,0.09978890807906352,,6513.75,6507.25,0,0.0,False,6489.25,<500
2025-09-10,PM,Buy,320,0,1,05:30:01.125000,1.0,0.8549618320610688,30.4996875,6550.0,6606.0,0,53.4996875,False,6565.25,<500
2025-09-10,RTH,Buy,1000,1,1,10:59:38.744000,1.0,1.0091743119266057,21.005904444444443,6540.0,6606.0,0,48.00590444444444,False,6565.25,500-1000
2025-09-11,AH,Sell,471,0,1,13:58:10.248000,0.0,0.235151331259956,,6591.5,6576.0,0,11.030486666666667,False,6535.5,<500
2025-09-11,AH,Sell,1494,1,1,13:59:31.081000,0.0,0.23893503242689726,,6591.75,6576.0,0,11.008033055555556,False,6535.5,1000-2000
2025-09-11,RTH,Buy,314,0,1,11:17:54.921000,0.0,0.5235999392927607,,6589.0,6623.5,0,92.70141083333334,True,6595.0,<500
2025-09-12,RTH,Buy,327,0,1,12:59:58.992000,1.0,1.6507285974499089,83.00027999999999,6588.0,6696.75,0,84.00027999999999,False,6606.0,<500
2025-09-15,FirstHour,Buy,1192,1,1,06:41:49.935000,0.0,0.7458770614692654,,6670.0,6719.75,0,67.30279583333333,True,6619.75,1000-2000
2025-09-15,RTH,Sell,300,0,1,12:56:41.065000,1.0,1.0488069820579091,0.0,6674.25,6604.25,0,19.05525972222222,False,6586.25,<500
2025-09-16,RTH,Sell,500,1,1,12:31:14.732000,0.0,0.045372050816696916,,6612.0,6609.0,0,0.0,True,6604.25,<500
2025-09-16,RTH,Sell,303,0,1,12:44:47.021000,0.0,0.07182007182007182,,6613.75,6609.0,0,0.0,True,6604.25,<500
2025-09-17,RTH,Sell,300,0,1,11:08:26.425000,1.0,0.9736369083283403,0.0,6676.0,6611.0,0,0.0,False,6611.0,<500
2025-09-17,RTH,Buy,300,0,1,12:03:02.553000,1.0,1.5365542114358703,12.949290833333333,6654.5,6756.75,0,119.94929083333334,False,6686.5,<500
2025-09-17,RTH,Buy,295,0,1,12:03:52.293000,1.0,1.5556307067974298,12.935474166666667,6653.25,6756.75,0,119.93547416666667,False,6686.5,<500
2025-09-17,RTH,Buy,552,1,1,12:22:18.532000,1.0,1.3765941485371342,12.628185555555556,6665.0,6756.75,0,119.62818555555555,False,6686.5,500-1000
2025-09-17,RTH,Sell,300,0,1,12:24:55.132000,0.0,0.4010494752623688,,6670.0,6643.25,0,0.0,False,6611.0,<500
2025-09-18,AH,Sell,2000,1,1,13:59:44.944000,0.0,0.2836455922967829,,6698.5,6679.5,0,10.004182222222221,False,6670.25,1000-2000
2025-09-18,AH,Sell,1883,1,1,13:57:39.675000,0.0,0.29852974102544966,,6699.5,6679.5,0,10.038979166666666,False,6670.25,1000-2000
2025-09-18,FirstHour,Buy,971,1,1,06:48:01.396000,1.0,1.2247191011235956,29.199612222222225,6675.0,6756.75,0,101.19961222222221,False,6719.75,500-1000
2025-09-18,RTH,Sell,350,0,1,12:52:21.269000,0.0,0.20915813849256742,,6693.5,6679.5,0,11.127425277777778,False,6670.25,<500
2025-09-19,FirstHour,Buy,1000,1,1,06:47:23.778000,1.0,0.8169203222918533,76.21006166666668,6702.0,6756.75,0,77.21006166666668,False,6712.5,500-1000
2025-09-19,PM,Buy,944,1,2,06:26:51.665000,0.0,0.6967213114754098,,6710.0,6756.75,0,77.55231527777778,True,6712.5,500-1000
2025-09-19,RTH,Buy,332,0,1,08:10:07.469000,1.0,0.9147935180345007,72.83125861111111,6695.5,6756.75,0,75.83125861111111,False,6712.5,<500
2025-09-22,AH,Sell,590,1,1,13:07:03.002000,1.0,1.8484219884427322,42.88249944444444,6749.0,6624.25,0,69.88249944444445,False,6698.5,500-1000
2025-09-22,RTH,Buy,397,0,1,11:44:14.061000,0.0,0.0851725670271071,,6751.0,6756.75,0,0.26276083333333333,True,6752.5,<500
2025-09-22,RTH,Buy,1801,1,1,12:54:41.575000,0.0,0.025906735751295335,,6755.0,6756.75,0,0.0,True,6756.75,1000-2000
2025-09-22,RTH,Buy,412,0,1,12:54:41.576000,0.0,0.025906735751295335,,6755.0,6756.75,0,0.0,True,6756.75,<500
2025-09-23,AH,Sell,996,1,1,00:46:58.253000,1.0,1.8774996296844912,31.217151944444446,6751.0,6624.25,0,58.217151944444446,True,6744.75,500-1000
2025-09-23,AH,Sell,868,1,1,00:52:20.634000,1.0,1.8484219884427322,31.127601666666664,6749.0,6624.25,0,58.12760166666667,True,6744.75,500-1000
2025-09-23,AH,Sell,289,0,1,13:08:24.140000,1.0,1.380824772964121,38.859961111111105,6717.0,6624.25,0,45.859961111111105,False,6701.75,<500
2025-09-23,AH,Sell,465,0,1,13:59:54.651000,1.0,1.3698120230783548,38.00148583333333,6716.25,6624.25,0,45.00148583333333,False,6701.75,<500
2025-09-23,AH,Sell,947,1,1,13:59:29.962000,1.0,1.3698120230783548,38.00834388888889,6716.25,6624.25,0,45.00834388888889,False,6701.75,500-1000
2025-09-23,RTH,Buy,610,1,1,09:49:00.773000,0.0,0.0185459940652819,,6740.0,6741.25,0,0.0,False,6756.5,500-1000
2025-09-23,RTH,Buy,1000,1,1,09:47:32.006000,0.0,0.0185459940652819,,6740.0,6741.25,0,0.0,False,6756.5,500-1000
2025-09-23,RTH,Buy,1000,1,1,10:24:02.756000,0.0,0.06314069231912048,,6731.0,6735.25,0,0.0,False,6756.5,500-1000
2025-09-23,RTH,Buy,1000,1,1,10:58:14.031000,0.0,0.3015636634400596,,6715.0,6735.25,0,0.0,False,6756.5,500-1000
2025-09-23,RTH,Buy,301,0,1,12:53:19.157000,0.0,0.18984514592019058,,6716.0,6728.75,0,15.111345277777778,False,6756.5,<500
2025-09-23,RTH,Buy,543,1,1,12:53:19.157000,0.0,0.18984514592019058,,6716.0,6728.75,0,15.111345277777778,False,6756.5,500-1000
2025-09-23,RTH,Sell,1447,1,1,12:59:09.748000,1.0,1.322061671383882,39.013958888888894,6713.0,6624.25,0,46.013958888888894,False,6701.75,1000-2000
2025-09-23,RTH,Sell,556,1,1,12:57:31.360000,1.0,1.3441060391689625,39.04128888888889,6714.5,6624.25,0,46.04128888888889,False,6701.75,500-1000
2025-09-23,RTH,Buy,663,1,1,12:52:28.570000,0.0,0.18984514592019058,,6716.0,6728.75,0,15.125397222222222,False,6756.5,500-1000
2025-09-23,RTH,Buy,1333,1,1,12:52:28.570000,0.0,0.18984514592019058,,6716.0,6728.75,0,15.125397222222222,False,6756.5,1000-2000
